chr	enhancer_starts	enhancer_ends	gene	DAY0_H3K27ac	DAY4_H3K27ac	DAY0_H3K4me1	DAY4_H3K4me1	H3K27ac_FC	H3K4me3_FC	fragMEAN	log2FoldChange	padj
chr5	105650700	105652700	Lrrc8d	4	6	12	4	1.5	-3	6.5	0.27337172929003	0.0249508285248476
chr6	107929900	107931900	Setmar	11	2	2	11	-5.5	5.5	6.5	-0.229783430248468	0.155195755353655
chr6	142779200	142781200	Cmas	5	5	8	8	0	0	6.5	0.795485607979901	1.6752364179253e-68
chr6	142979400	142981400	St8sia1	5	7	4	10	1.4	2.5	6.5	-0.749409235996206	0.81701106526139
chr6	145637100	145639100	Tuba3b	3	6	7	10	2	1.42857142857143	6.5	NA	NA
chr7	27284300	27286300	Ltbp4	9	5	2	10	-1.8	5	6.5	-0.39124747442205	6.65932248254982e-08
chr7	30999900	31001900	Fam187b	7	5	5	9	-1.4	1.8	6.5	2.57310477917064	0.136695842147354
chr7	37290000	37293800	Zfp536	15	4	2	5	-3.75	2.5	6.5	NA	NA
chr7	46830200	46832400	Ldha	9	3	6	8	-3	1.33333333333333	6.5	0.0884048661188572	0.0638677938426604
chr7	101632600	101634600	Clpb	7	6	9	4	-1.16666666666667	-2.25	6.5	-0.0793392006359247	0.582314800579241
chr7	136843500	136846800	Mgmt	4	3	11	8	-1.33333333333333	-1.375	6.5	-0.666957229716573	1.06576376186729e-13
chr8	23351500	23353500	Sfrp1	5	4	10	7	-1.25	-1.42857142857143	6.5	0.966245850827986	0.742519533641734
chr8	45857600	45859600	Pdlim3	7	2	10	7	-3.5	-1.42857142857143	6.5	0.38982909723421	NA
chr8	83837200	83839200	Adgrl1	9	5	4	8	-1.8	2	6.5	-0.592068740924687	3.77013876839252e-27
chr8	89569800	89573400	Sall1	3	7	9	7	2.33333333333333	-1.28571428571429	6.5	NA	NA
chr8	107651000	107653000	Psmd7	7	5	8	6	-1.4	-1.33333333333333	6.5	-0.165079481587986	2.58530858754975e-05
chr9	61672800	61674800	Rplp1	8	4	5	9	-2	1.8	6.5	0.143305299081441	0.00535458617079333
chr9	121554900	121556900	Lyzl4os	9	2	12	3	-4.5	-4	6.5	NA	NA
chr11	101993000	101995000	Cfap97d1	7	4	7	8	-1.75	1.14285714285714	6.5	1.11116986148538	NA
chr12	28358100	28360100	Dcdc2c	4	9	6	7	2.25	1.16666666666667	6.5	-0.92397792605278	0.0188683806671757
chr13	12367900	12371300	Heatr1	9	4	6	7	-2.25	1.16666666666667	6.5	-0.04132274906171	0.72866832413192
chr13	42292300	42294300	Edn1	7	2	9	8	-3.5	-1.125	6.5	-1.91437126978379	0.00684477812387761
chr13	43148800	43150800	Tbc1d7	6	4	7	9	-1.5	1.28571428571429	6.5	-0.120145246820987	0.21553359918257
chr13	54754200	54757400	Gprin1	11	4	7	4	-2.75	-1.75	6.5	NA	NA
chr13	54906800	54908800	Unc5a	9	5	4	8	-1.8	2	6.5	1.11116986148538	NA
chr13	59401400	59403400	Agtpbp1	8	3	8	7	-2.66666666666667	-1.14285714285714	6.5	0.278809487867618	0.0107201401481991
chr13	60522200	60524200	Dapk1	7	5	9	5	-1.4	-1.8	6.5	4.21298241231864	0.0218256097098228
chr13	90833000	90835000	Atp6ap1l	2	3	8	13	1.5	1.625	6.5	0.38982909723421	NA
chr14	33683100	33685100	Ptpn20	6	7	8	5	1.16666666666667	-1.6	6.5	0.173651495958266	0.770163989811085
chr14	55795100	55797100	Ripk3	3	2	14	7	-1.5	-2	6.5	0.00560212402129563	0.996833841770835
chr14	61969900	61971900	Dleu2	4	8	7	7	2	0	6.5	0.123585431528427	0.345916156962655
chr15	3742900	3744900	Ghr	4	12	5	5	3	0	6.5	0.287451713114875	3.40343401650945e-09
chr15	35283000	35285000	Osr2	7	6	7	6	-1.16666666666667	-1.16666666666667	6.5	-1.44296386335044	0.000900265543907637
chr15	85199800	85201800	Fbln1	7	4	7	8	-1.75	1.14285714285714	6.5	NA	NA
chr15	94204900	94206900	Adamts20	7	8	6	5	1.14285714285714	-1.2	6.5	-2.62502515664329	0.38991385294709
chr16	90920400	90922400	Cfap298	5	3	9	9	-1.66666666666667	0	6.5	-0.177994354182662	0.0521263372599838
chr16	91365700	91367700	Ifnar2	6	9	4	7	1.5	1.75	6.5	0.122966750863343	0.0274619314947293
chr17	16004200	16006200	Rgmb	6	5	10	5	-1.2	-2	6.5	-0.265524794229943	0.00247760091882992
chr18	13025800	13027800	Hrh4	2	5	15	4	2.5	-3.75	6.5	NA	NA
chr18	52729200	52731200	Gykl1	14	4	3	5	-3.5	1.66666666666667	6.5	4.2800513882634	0.00782798737585461
chr18	58702700	58704700	Isoc1	7	5	5	9	-1.4	1.8	6.5	-0.542165655379685	3.35135893644414e-19
chr19	44668100	44670100	Pax2	9	5	8	4	-1.8	-2	6.5	NA	NA
chr19	50086400	50088400	Sorcs1	10	8	5	3	-1.25	-1.66666666666667	6.5	NA	NA
chr1	52421200	52423200	Nab1	8	8	4	5	0	1.25	6.25	0.638212575534083	2.60271469584557e-56
chr1	77127500	77129500	Epha4	5	5	8	7	0	-1.14285714285714	6.25	-1.41594564995039	2.57435581741875e-44
chr1	143819500	143821500	Uchl5	9	5	8	3	-1.8	-2.66666666666667	6.25	-0.146037066214603	0.0210426142248015
chr1	151513400	151515400	Rnf2	6	4	6	9	-1.5	1.5	6.25	-0.234989370079626	1.12966604534648e-07
chr1	173324600	173327200	Ackr1	10	4	8	3	-2.5	-2.66666666666667	6.25	1.81994497153774	NA
chr1	191639800	191642000	Ints7	3	3	6	13	0	2.16666666666667	6.25	-0.743293711617895	4.17878920358795e-43
chr2	5126900	5128900	Ccdc3	6	8	4	7	1.33333333333333	1.75	6.25	NA	NA
chr2	17951100	17953100	H2al2a	4	6	8	7	1.5	-1.14285714285714	6.25	NA	NA
chr2	74901000	74903000	Mtx2	4	7	7	7	1.75	0	6.25	-0.229125209657048	0.00665860996754363
chr2	102539600	102541600	Pamr1	7	4	7	7	-1.75	0	6.25	-1.74223508987785	0.33692678583849
chr2	162899600	162901600	Srsf6	5	5	3	12	0	4	6.25	-0.0497605842236736	0.187348377030912
chr2	163099100	163101100	Mybl2	5	7	5	8	1.4	1.6	6.25	-1.54610975097411	1.81319647665423e-72
chr2	180317200	180319200	Gata5os	4	1	6	14	-4	2.33333333333333	6.25	NA	NA
chr3	49592100	49594100	Pcdh18	5	7	4	9	1.4	2.25	6.25	-0.414731920930319	4.45891784462571e-13
chr3	104570300	104572300	Lrig2	7	6	4	8	-1.16666666666667	2	6.25	0.0324849007619679	0.795846423469912
chr3	107527600	107530400	Slc6a17	4	7	9	5	1.75	-1.8	6.25	-0.331477887569045	NA
chr3	107535400	107538600	Ubl4b	4	5	9	7	1.25	-1.28571428571429	6.25	NA	NA
chr4	11393600	11395600	Esrp1	3	5	8	9	1.66666666666667	1.125	6.25	-0.992705094798844	NA
chr4	24218000	24220400	Mms22l	12	2	5	6	-6	1.2	6.25	-1.23849939713032	1.93352770681512e-46
chr4	54071800	54074000	Tmem38b	13	5	2	5	-2.6	2.5	6.25	0.25401914173132	0.000812773989354868
chr4	119140450	119142450	Zfp691	8	7	8	2	-1.14285714285714	-4	6.25	0.584653113499665	0.0297967594355042
chr4	136109500	136111500	Id3	7	10	5	3	1.42857142857143	-1.66666666666667	6.25	0.360792980865973	1.75350979437899e-10
chr4	150078800	150080800	Gpr157	6	10	3	6	1.66666666666667	2	6.25	-0.21099848009119	0.267853405359207
chr5	105648300	105650300	Lrrc8d	5	7	3	10	1.4	3.33333333333333	6.25	0.27337172929003	0.0249508285248476
chr5	120453700	120455700	Sdsl	8	5	8	4	-1.6	-2	6.25	-0.109471317144571	0.523980919097137
chr5	134896700	134898700	Tmem270	7	4	8	6	-1.75	-1.33333333333333	6.25	NA	NA
chr5	139580100	139582100	Uncx	3	2	10	10	-1.5	0	6.25	NA	NA
chr6	54784100	54786100	Znrf2	9	5	5	6	-1.8	1.2	6.25	0.236749933206603	0.00212807612226179
chr6	85205600	85207600	Emx1	4	3	7	11	-1.33333333333333	1.57142857142857	6.25	-0.301207968704774	NA
chr6	97264200	97266400	Lmod3	8	6	2	9	-1.33333333333333	4.5	6.25	3.20437508004656	0.00270958124068804
chr6	107711200	107714000	Lrrn1	6	8	5	6	1.33333333333333	1.2	6.25	NA	NA
chr6	120619300	120621300	Cecr2	6	7	6	6	1.16666666666667	0	6.25	1.11890365424002	0.0434662584834637
chr7	139730600	139732600	Mir6401	7	4	7	7	-1.75	0	6.25	NA	NA
chr8	24403000	24405000	Tcim	8	1	11	5	-8	-2.2	6.25	-3.09240733291087	0.00011771867956522
chr8	57435200	57437200	Scrg1	12	4	1	8	-3	8	6.25	NA	NA
chr8	90120400	90122400	Tox3	6	2	12	5	-3	-2.4	6.25	NA	NA
chr8	94892100	94894100	Dok4	3	1	16	5	-3	-3.2	6.25	-1.46839269879246	2.79767420580999e-20
chr8	107851500	107853500	Zfhx3	5	8	7	5	1.6	-1.4	6.25	-0.568331479033066	1.31276179716601e-14
chr8	107928700	107930700	Zfhx3	5	6	9	5	1.2	-1.8	6.25	-0.568331479033066	1.31276179716601e-14
chr8	127656300	127658300	Pard3	6	2	8	9	-3	1.125	6.25	-0.371557221918267	3.86316908969017e-20
chr9	20986400	20988400	S1pr2	8	7	6	4	-1.14285714285714	-1.5	6.25	-0.544664514390267	1.42087491568745e-19
chr9	30136800	30138800	Ntm	10	6	4	5	-1.66666666666667	1.25	6.25	-0.383283148250574	0.734948577652702
chr9	32416800	32418800	Kcnj1	3	7	9	6	2.33333333333333	-1.5	6.25	NA	NA
chr9	61617400	61619400	Tle3	6	4	8	7	-1.5	-1.14285714285714	6.25	0.395863919096745	2.49038658844737e-25
chr9	67588500	67590500	Tln2	8	4	6	7	-2	1.16666666666667	6.25	-1.23564654083848	3.60386327479082e-61
chr9	67639300	67641300	Tln2	8	5	6	6	-1.6	0	6.25	-1.23564654083848	3.60386327479082e-61
chr9	80022400	80024400	Filip1	2	7	9	7	3.5	-1.28571428571429	6.25	-0.33148710068685	0.909863207451336
chr10	19276300	19278300	Olig3	7	6	10	2	-1.16666666666667	-5	6.25	NA	NA
chr10	22867700	22869700	Tcf21	6	7	8	4	1.16666666666667	-2	6.25	NA	NA
chr11	31590900	31592900	Bod1	4	5	7	9	1.25	1.28571428571429	6.25	0.00944998483549955	0.880297647107269
chr11	31717400	31719400	Bod1	9	4	7	5	-2.25	-1.4	6.25	0.00944998483549955	0.880297647107269
chr11	50545200	50547200	Adamts2	7	6	5	7	-1.16666666666667	1.4	6.25	0.609658773510072	5.99635372222196e-28
chr11	79002200	79004400	Ksr1	7	4	6	8	-1.75	1.33333333333333	6.25	-0.999090996102911	2.08539392605847e-09
chr11	84539500	84541500	Lhx1os	5	6	8	6	1.2	-1.33333333333333	6.25	-0.331477887569045	NA
chr11	117003000	117005000	Mgat5b	4	5	6	10	1.25	1.66666666666667	6.25	-0.331477887569045	NA
chr12	24714600	24717000	Rrm2	5	11	6	3	2.2	-2	6.25	-1.73797290628404	2.83199398961276e-274
chr12	31221900	31223900	Lamb1	6	5	6	8	-1.2	1.33333333333333	6.25	-2.07443083457203	3.38744399897649e-296
chr12	35981000	35983000	Agr2	12	3	2	8	-4	4	6.25	NA	NA
chr12	105987900	105989900	Vrk1	7	5	8	5	-1.4	-1.6	6.25	-0.989944475338073	2.81838410979105e-51
chr13	54389800	54391800	Cplx2	8	2	7	8	-4	1.14285714285714	6.25	0.010426586954003	0.897637441488536
chr13	75541600	75544700	Mir682	6	11	6	2	1.83333333333333	-3	6.25	NA	NA
chr13	90517300	90519300	Atp6ap1l	7	4	9	5	-1.75	-1.8	6.25	0.38982909723421	NA
chr13	107340100	107342100	AI197445	1	10	10	4	10	-2.5	6.25	1.492082285685	8.08346353998288e-05
chr13	113656000	113659300	Hspb3	4	15	5	1	3.75	-5	6.25	NA	NA
chr15	78270100	78272100	Ncf4	0	9	8	8	Inf	0	6.25	NA	NA
chr15	81576400	81578400	Ep300	4	6	5	10	1.5	2	6.25	-0.131067992877712	0.223124173731226
chr15	85187400	85189400	Fbln1	4	6	10	5	1.5	-2	6.25	NA	NA
chr16	32562400	32564400	Tfrc	5	7	7	6	1.4	-1.16666666666667	6.25	-1.10856311771546	7.1480198479794e-20
chr16	97282200	97284200	Bace2	5	8	9	3	1.6	-3	6.25	-3.68565088388763	0.0246375773126635
chr17	14225300	14227300	Dact2	5	7	4	9	1.4	2.25	6.25	-2.33795616114374	1.65778631348229e-07
chr17	47978000	47980000	Foxp4	10	3	3	9	-3.33333333333333	3	6.25	-0.312796677577702	7.87410375828529e-08
chr17	48281900	48283900	Treml4	7	7	6	5	0	-1.2	6.25	NA	NA
chr17	73431800	73433800	Capn13	5	9	8	3	1.8	-2.66666666666667	6.25	0.38982909723421	NA
chr18	15246600	15248600	Kctd1	4	5	13	3	1.25	-4.33333333333333	6.25	0.158976282844818	0.0254029820481963
chr18	39397100	39399100	Arhgap26	7	4	7	7	-1.75	0	6.25	0.56963097025473	0.632318934157288
chr18	64749900	64751900	Atp8b1	7	8	6	4	1.14285714285714	-1.5	6.25	0.683287396626015	0.553711593995852
chr18	68496500	68498500	Mc2r	5	8	6	6	1.6	0	6.25	NA	NA
chr19	14775800	14778900	Tle4	8	6	9	2	-1.33333333333333	-4.5	6.25	-0.544052453621555	0.000145770640479829
chr19	38237700	38239700	Fra10ac1	5	8	5	7	1.6	1.4	6.25	-0.0790689511284953	0.246977445759081
chr1	4426300	4428300	Rp1	7	5	5	7	-1.4	1.4	6	1.87906884026349	9.19742489604749e-05
chr1	40658900	40660900	Slc9a2	8	4	4	8	-2	2	6	3.26209565972648	0.000101071909102104
chr1	75692600	75694600	Slc4a3	3	2	9	10	-1.5	1.11111111111111	6	-0.0874686438051045	0.577598872897727
chr1	82971200	82973200	Slc19a3	5	5	9	5	0	-1.8	6	0.437409075640315	NA
chr1	91629700	91631700	Asb1	5	2	7	10	-2.5	1.42857142857143	6	0.236052848417399	0.0284257620466503
chr1	133862700	133864700	Optc	5	0	8	11	-Inf	1.375	6	-1.2285071255424	0.0458745467957721
chr1	169367300	169369300	Nuf2	11	4	3	6	-2.75	2	6	-1.40918395672019	1.10049792901263e-103
chr2	14501700	14503700	Cacnb2	8	7	4	5	-1.14285714285714	1.25	6	-0.313988243879669	0.765369448882516
chr2	21292000	21294000	Gpr158	10	3	7	4	-3.33333333333333	-1.75	6	NA	NA
chr2	59895600	59897600	Wdsub1	5	6	3	10	1.2	3.33333333333333	6	-0.1048210138661	0.246102932687854
chr2	107303700	107307000	Kcna4	3	8	7	6	2.66666666666667	-1.16666666666667	6	NA	NA
chr2	152188800	152190800	Csnk2a1	8	9	3	4	1.125	1.33333333333333	6	-0.0470389705145652	0.169021900591314
chr2	165242000	165244000	Cdh22	7	7	6	4	0	-1.5	6	0.508508075000535	0.00669415107041939
chr3	37671500	37673500	Spry1	7	4	7	6	-1.75	-1.16666666666667	6	0.434686233440009	4.30686272940087e-11
chr3	57972500	57974500	Pfn2	4	2	11	7	-2	-1.57142857142857	6	-0.314585174149516	7.35721955231694e-06
chr3	130803000	130805000	Rpl34	6	7	5	6	1.16666666666667	1.2	6	0.35630531638289	3.38298589711456e-20
chr4	8666100	8668100	Chd7	2	6	8	8	3	0	6	0.717587049537961	2.5377340253613e-15
chr4	108317700	108319700	Coa7	5	9	4	6	1.8	1.5	6	0.180094184224495	0.349229369981904
chr4	149799500	149802900	Slc25a33	3	5	11	5	1.66666666666667	-2.2	6	0.112563125066336	0.445153095423007
chr4	149885900	149887900	Spsb1	10	2	4	8	-5	2	6	-0.597692566949771	9.57153076238552e-12
chr5	52050800	52052800	Mir6417	3	6	6	9	2	1.5	6	NA	NA
chr5	119798400	119801200	Tbx5	5	6	6	7	1.2	1.16666666666667	6	NA	NA
chr6	7698000	7700000	Asns	2	7	5	10	3.5	2	6	0.290778254836647	0.0491309399100987
chr6	94805900	94807900	Lrig1	9	5	4	6	-1.8	1.5	6	-0.190551583689381	0.00584552763945368
chr6	140267600	140269600	Plekha5	7	8	4	5	1.14285714285714	1.25	6	0.85647709408735	1.81441524442578e-110
chr7	45600900	45602900	Fgf21	4	9	7	4	2.25	-1.75	6	2.23744064493437	0.0293583478901403
chr7	135842900	135844900	Mki67	5	6	11	2	1.2	-5.5	6	-1.58817861963496	1.66028794504799e-116
chr8	36393500	36395500	Trmt9b	7	4	9	4	-1.75	-2.25	6	NA	NA
chr8	128033600	128035600	Mir21c	8	7	3	6	-1.14285714285714	2	6	NA	NA
chr9	21714500	21716500	Ldlr	7	4	5	8	-1.75	1.6	6	0.0661329152180653	0.119982779188443
chr9	66673200	66675200	Car12	7	3	6	8	-2.33333333333333	1.33333333333333	6	-2.28143398358556	0.441310717792054
chr9	78964200	78966200	Cd109	8	3	5	8	-2.66666666666667	1.6	6	0.168170607699028	1.84368319311285e-05
chr9	98709500	98711500	Mrps22	6	3	10	5	-2	-2	6	-0.236412650575451	0.0107571922750092
chr9	111289700	111291700	Epm2aip1	6	5	7	6	-1.2	-1.16666666666667	6	0.158382612825637	0.000386573210733107
chr9	119839000	119841000	Scn11a	8	1	9	6	-8	-1.5	6	NA	NA
chr11	32882700	32884700	Smim23	6	3	7	8	-2	1.14285714285714	6	NA	NA
chr11	46175800	46177800	Mir7239	5	9	6	4	1.8	-1.5	6	NA	NA
chr11	52635200	52637200	Fstl4	5	3	9	7	-1.66666666666667	-1.28571428571429	6	0.394775608244186	0.750976658411624
chr11	63830000	63832000	Hs3st3b1	3	10	4	7	3.33333333333333	1.75	6	0.389822341357282	NA
chr11	65634600	65636600	Map2k4	6	7	6	5	1.16666666666667	-1.2	6	-0.147080611362561	0.000521485294421865
chr11	66812900	66814900	Pirt	9	1	11	3	-9	-3.66666666666667	6	NA	NA
chr11	118960000	118962000	Enpp7	6	5	9	4	-1.2	-2.25	6	0.38982909723421	NA
chr11	118972300	118974300	Enpp7	9	3	4	8	-3	2	6	0.38982909723421	NA
chr12	57533100	57535100	Foxa1	2	3	12	7	1.5	-1.71428571428571	6	-0.393324947323073	NA
chr12	110256000	110258000	Dio3os	9	6	5	4	-1.5	-1.25	6	-1.57049003527652	3.84634022251367e-10
chr12	111031800	111033800	Rcor1	7	1	9	7	-7	-1.28571428571429	6	-0.020811498613124	0.628673579141587
chr13	37731300	37733300	Rreb1	3	3	5	13	0	2.6	6	0.483487415181379	2.97410439768388e-09
chr13	49153000	49155000	Wnk2	7	7	4	6	0	1.5	6	-0.592522936109447	0.557132429895953
chr13	56590000	56592000	Tgfbi	3	3	8	10	0	1.25	6	1.01847845679609	3.80707675245791e-55
chr13	73281700	73283700	Irx4	1	10	6	7	10	1.16666666666667	6	NA	NA
chr13	99540900	99542900	Map1b	3	7	9	5	2.33333333333333	-1.8	6	0.79161538522306	3.05500299256542e-102
chr13	99549400	99551400	Map1b	5	3	6	10	-1.66666666666667	1.66666666666667	6	0.79161538522306	3.05500299256542e-102
chr13	110023600	110025600	Pde4d	5	3	6	10	-1.66666666666667	1.66666666666667	6	0.328329404846678	2.0915107229632e-05
chr13	112143700	112145700	Ankrd55	8	0	11	5	-Inf	-2.2	6	0.297827305771312	0.689347619835068
chr14	28812800	28817100	Cacna2d3	4	10	5	5	2.5	0	6	-2.73689860373224	NA
chr14	31696700	31698700	Ankrd28	7	2	5	10	-3.5	2	6	0.357899799026862	6.88603640282961e-15
chr14	47330900	47332900	Mapk1ip1l	8	5	2	9	-1.6	4.5	6	-0.205631318457279	2.19581177760135e-10
chr14	68260900	68262900	Nefm	3	7	3	11	2.33333333333333	3.66666666666667	6	NA	NA
chr15	11453900	11455900	Tars	5	7	7	5	1.4	-1.4	6	0.434205923596035	1.12131906726802e-27
chr15	12749000	12751000	Pdzd2	9	3	6	6	-3	0	6	5.8793652862982	3.03061100183498e-236
chr15	37135600	37137600	Grhl2	6	5	7	6	-1.2	-1.16666666666667	6	0.61881940668147	0.446628563556849
chr15	37205000	37208400	Grhl2	5	4	6	9	-1.25	1.5	6	0.61881940668147	0.446628563556849
chr15	83042100	83044100	Nfam1	5	4	5	10	-1.25	2	6	0.751185280633723	0.501530952696562
chr16	18719900	18721900	Cldn5	6	6	7	5	0	-1.4	6	NA	NA
chr16	20818100	20820100	Chrd	6	6	6	6	0	0	6	1.94728832145297	2.95970510938849e-124
chr16	95658100	95660100	Ets2	8	3	7	6	-2.66666666666667	-1.16666666666667	6	-0.183797338462417	0.000262621886194201
chr17	15976600	15978600	Rgmb	8	8	0	8	0	Inf	6	-0.265524794229943	0.00247760091882992
chr17	45967100	45969100	Vegfa	5	3	6	10	-1.66666666666667	1.66666666666667	6	0.246001850652403	0.000168390279177146
chr18	13031100	13033100	Hrh4	3	7	9	5	2.33333333333333	-1.8	6	NA	NA
chr18	62895900	62897900	Apcdd1	11	2	3	8	-5.5	2.66666666666667	6	0.0646760039764236	0.871129962707673
chr18	74189700	74191700	Ska1	6	7	3	8	1.16666666666667	2.66666666666667	6	-1.42881247914815	1.29736435056669e-30
chr18	84902800	84904800	Cyb5a	4	6	3	11	1.5	3.66666666666667	6	-0.842727195645752	2.63241207481188e-48
chr19	27509200	27511200	Pum3	9	7	7	1	-1.28571428571429	-7	6	-0.253580019142761	1.44037805119407e-10
chr19	48051900	48053900	Cfap58	8	6	6	4	-1.33333333333333	-1.5	6	-0.331477887569044	NA
chr1	91658600	91660600	Asb1	6	2	9	6	-3	-1.5	5.75	0.236052848417399	0.0284257620466503
chr1	91669900	91671900	Asb1	5	6	6	6	1.2	0	5.75	0.236052848417399	0.0284257620466503
chr1	135234100	135236100	Elf3	2	5	11	5	2.5	-2.2	5.75	-0.331497412254832	NA
chr2	48628600	48630600	Acvr2a	6	0	12	5	-Inf	-2.4	5.75	-0.265386016439709	0.000484503554727398
chr2	55692600	55694600	Kcnj3	6	7	8	2	1.16666666666667	-4	5.75	NA	NA
chr2	77301100	77303100	Sestd1	7	8	5	3	1.14285714285714	-1.66666666666667	5.75	0.136316293723235	0.00595428291766045
chr2	93170100	93172100	Trp53i11	2	7	11	3	3.5	-3.66666666666667	5.75	1.66298267553567	0.602143888214198
chr2	136688600	136690600	Snap25	7	2	11	3	-3.5	-3.66666666666667	5.75	1.11116986148538	NA
chr2	152404600	152407800	Sox12	8	4	8	3	-2	-2.66666666666667	5.75	NA	NA
chr2	155742000	155744000	Procr	5	7	6	5	1.4	-1.2	5.75	-1.56312086011502	0.00590525384532022
chr2	157486800	157489000	Src	7	1	8	7	-7	-1.14285714285714	5.75	0.399532821815877	9.0431343422013e-14
chr2	157497400	157499400	Src	5	9	3	6	1.8	2	5.75	0.399532821815877	9.0431343422013e-14
chr3	35087000	35091200	Mir6378	9	4	5	5	-2.25	0	5.75	NA	NA
chr3	56355800	56358200	Nbea	5	6	5	7	1.2	1.4	5.75	-0.036510048340669	0.834483061000577
chr3	103384200	103386200	Trim33	6	5	6	6	-1.2	0	5.75	0.00483417219204629	0.931996758887751
chr3	126491000	126493000	Camk2d	5	4	8	6	-1.25	-1.33333333333333	5.75	-0.0205295625444211	0.758291924283408
chr3	146563800	146565800	Uox	4	5	9	5	1.25	-1.8	5.75	NA	NA
chr3	149246100	149248100	Adgrl2	5	7	3	8	1.4	2.66666666666667	5.75	-0.837327651478618	2.8034470291173e-115
chr4	12785700	12787700	Triqk	4	5	12	2	1.25	-6	5.75	1.16121154830857	1.4297752882424e-47
chr4	94714700	94716700	Tek	5	4	7	7	-1.25	0	5.75	-0.3314913993229	NA
chr4	98743100	98745100	L1td1	1	6	3	13	6	4.33333333333333	5.75	0.38982909723421	NA
chr4	105534800	105536800	Plpp3	9	5	8	1	-1.8	-8	5.75	-1.91628903656387	6.68161515419641e-132
chr4	114947500	114949500	Foxe3	8	3	4	8	-2.66666666666667	2	5.75	NA	NA
chr4	138542100	138544100	Vwa5b1	8	1	12	2	-8	-6	5.75	NA	NA
chr5	35149000	35151000	Lrpap1	8	9	1	5	1.125	5	5.75	-0.0355510797401883	0.57640359305516
chr5	51903000	51905000	Mir6417	4	7	9	3	1.75	-3	5.75	NA	NA
chr5	74154500	74156500	Rasl11b	5	4	8	6	-1.25	-1.33333333333333	5.75	-0.674019844776619	1.15462289938231e-05
chr5	103401100	103403100	Ptpn13	6	5	3	9	-1.2	3	5.75	0.482777410390168	7.15817523262916e-40
chr5	139567300	139569300	Uncx	6	3	6	8	-2	1.33333333333333	5.75	NA	NA
chr5	141115300	141117300	Card11	8	2	8	5	-4	-1.6	5.75	NA	NA
chr6	22715600	22717600	Ptprz1	4	6	11	2	1.5	-5.5	5.75	0.389828383733787	0.929941180541139
chr6	49716400	49718400	Npy	6	7	3	7	1.16666666666667	2.33333333333333	5.75	NA	NA
chr6	51612800	51614800	Snx10	2	8	10	3	4	-3.33333333333333	5.75	-0.35860276310959	6.60708910743968e-09
chr6	91321600	91323600	Fbln2	9	4	3	7	-2.25	2.33333333333333	5.75	-1.15941066048692	1.73436418297598e-166
chr7	35901400	35905100	Zfp507	7	3	6	7	-2.33333333333333	1.16666666666667	5.75	0.314873823847837	7.57870675211907e-11
chr7	82011200	82013200	Bnc1	6	7	9	1	1.16666666666667	-9	5.75	NA	NA
chr8	24490200	24492200	Ido2	5	2	7	9	-2.5	1.28571428571429	5.75	1.11116986148538	NA
chr8	80951300	80953300	Usp38	4	6	6	7	1.5	1.16666666666667	5.75	0.0473583887735763	0.386420246664426
chr8	86417900	86419900	Abcc12	7	4	7	5	-1.75	-1.4	5.75	-0.611998439447714	0.826383851135632
chr8	109483800	109485800	Pmfbp1	5	5	6	7	0	1.16666666666667	5.75	-0.331491249668706	NA
chr8	116771600	116773600	Cdyl2	6	5	5	7	-1.2	1.4	5.75	-0.82680676007629	7.23112830369612e-13
chr8	128155300	128157300	Mir21c	6	5	6	6	-1.2	0	5.75	NA	NA
chr9	20996900	20998900	Mrpl4	11	4	1	7	-2.75	7	5.75	-0.0623313218728446	0.316508137900493
chr9	124055600	124057600	Ccr3	12	6	2	3	-2	1.5	5.75	1.11116986148538	NA
chr10	51152500	51155300	Sim1	6	7	5	5	1.16666666666667	0	5.75	NA	NA
chr10	59871900	59873900	Dnajb12	3	5	6	9	1.66666666666667	1.5	5.75	0.0787011509190359	0.060478470907847
chr11	50491600	50493600	Rufy1	9	7	3	4	-1.28571428571429	1.33333333333333	5.75	0.393295875641403	9.54932888102944e-08
chr11	63249400	63251400	Pmp22	5	8	5	5	1.6	0	5.75	-1.55712522034038	1.77228051043964e-228
chr11	63336700	63338700	Pmp22	5	5	5	8	0	1.6	5.75	-1.55712522034038	1.77228051043964e-228
chr11	65671400	65673400	Map2k4	9	6	4	4	-1.5	0	5.75	-0.147080611362561	0.000521485294421865
chr11	70305200	70307200	Alox12e	4	5	11	3	1.25	-3.66666666666667	5.75	0.38982909723421	NA
chr12	33716900	33718900	Ferd3l	3	5	5	10	1.66666666666667	2	5.75	NA	NA
chr12	118840500	118842500	Sp8	10	7	1	5	-1.42857142857143	5	5.75	-1.37371607696989	3.81958121281749e-06
chr13	43582700	43584700	Mcur1	8	4	4	7	-2	1.75	5.75	0.768585606904739	2.0362007165042e-55
chr13	54158500	54160500	Hrh2	4	3	4	12	-1.33333333333333	3	5.75	-1.820301337115	0.127714610455918
chr13	56207800	56209800	Tifab	8	2	7	6	-4	-1.16666666666667	5.75	NA	NA
chr13	57055000	57057600	Trpc7	8	3	6	6	-2.66666666666667	0	5.75	-2.11159173151836	NA
chr13	69823100	69825100	Med10	2	10	7	4	5	-1.75	5.75	-0.0831661217673142	0.394323310093122
chr13	90278900	90280900	Tmem167	3	6	3	11	2	3.66666666666667	5.75	0.8924229446678	5.77571717493752e-88
